Genome	D008	EHI03363_M	GL_07_10	EHI03358_M	GL_03_01	EHI01300	ERR1914376	ERR1913680	EHI03349_M	EHI03335_M	D041	GL_04_10	SRR14842373	D016	ERR1916080	SRR14842426	D038	SRR14842324	GL_04_08	GL_06_01	ERR1916320	GL_04_05	SRR23153021	ERR1913344	EHI03337_M	SRR14842325	EHI03344_M	D001	SRR14842378	SRR14842396	SRR14842346	EHI01314	EHI01383	EHI03373_M	EHI03387_M	EHI01331	SRR14842401	SRR14842343	D006	SRR14842352	EHI01329	SRR14842333	GL_03_11	EHI03383_M	EHI01323	GL_08_X	EHI01287	EHI01330	GL_08_06	ERR1915624	EHI01308	SRR14842357	ERR1913872	GL_08_05	SRR14842358	ERR1913488	ERR1914904	EHI01292	EHI03372_M	GL_07_11	D028	SRR23153161	SRR14842337	SRR14842392	GL_07_06	GL_05_09	SRR14842407	SRR23153160	EHI01382	ERR1915456	EHI03338_M	SRR14842422	EHI03340_M	SRR14842390	EHI03371_M	SRR21169626	GL_05_03	GL_07_07	SRR14842374	EHI03365_M	EHI01319	EHI03381_M	ERR1915648	GL_06_03	GL_01_04	GL_05_01	D027	EHI01304	D003	SRR14842379	D020	SRR14842395	D011	ERR1914112	EHI03341_M	SRR14842355	EHI03395_M	D026	EHI01293	EHI01324	EHI03361_M	GL_06_05	D005	GL_03_03	ERR1914448	SRR14842360	ERR1915864	GL_01_05	GL_02_03	SRR14842320	GL_07_03	GL_02_02	SRR23153148	GL_03_07	D012	SRR14842420	SRR23152969	EHI03352_M	D007	SRR23153067	D029	GL_04_03	SRR14842359	D049	EHI01321	GL_02_06	GL_08_04	GL_05_04	ERR1914232	SRR14842383	EHI01289	EHI01290	EHI01332	ERR1914136	SRR23152936	EHI01281	MS_03_04	D048	SRR14842380	SRR14842328	SRR21169627	EHI03386_M	SRR21169621	D050	EHI01302	SRR23153001	D040	EHI03348_M	EHI03389_M	SRR14842356	EHI01282	GL_06_02	SRR21169624	SRR14842323	EHI01307	EHI03356_M	EHI03396_M	GL_08_12	EHI01310	EHI03375_M	D045	EHI01297	GL_02_01	SRR21169622	EHI01381	ERR1915672	SRR23152980	GL_03_12	EHI03367_M	MS_08_03	GL_03_02	EHI01316	D033	SRR14842354	SRR14842334	GL_08_11	D018	EHI03360_M	SRR14842376	EHI01317	EHI01294	GL_07_01	SRR14842348	SRR14842415	EHI01325	EHI03336_M	EHI03345_M	EHI01318	SRR14842399	GL_04_02	GL_08_07	SRR23153032	SRR14842364	GL_05_12	ERR1915888	GL_01_07	EHI01284	EHI01326	D042	SRR14842398	EHI03374_M	EHI03342_M	D043	SRR14842369	SRR14842371	D017	GL_03_06	SRR14842394	D047	GL_05_07	EHI01298	EHI03382_M	EHI03397_M	D015	SRR14842412	SRR21169620	EHI03346_M	SRR14842381	ERR1914160	EHI01312	D034	SRR14842366	EHI03388_M	D004	D002	ERR1913992	EHI01384	MS_02_06	GL_04_04	EHI03392_M	GL_04_06	SRR14842338	EHI03370_M	EHI03366_M	EHI03353_M	SRR23152947	EHI03376_M	EHI01311	D032	EHI03359_M	EHI01295	SRR14842385	SRR14842322	EHI01305	EHI03355_M	SRR14842327	EHI03384_M	EHI03343_M	ERR1916008	GL_08_10	ERR1913440	D031	EHI03379_M	ERR1915720	GL_06_04	SRR14842365	SRR14842377	SRR14842418	SRR21169628	ERR1915264	GL_08_02	GL_03_13	D046	SRR23153089	SRR14842375	EHI01328	SRR14842350	EHI03351_M	D023	D030	SRR23152958	EHI01322	EHI01283	D051	GL_07_04	EHI01288	SRR14842384	SRR14842363	EHI01299	EHI03380_M	EHI01286	D022	EHI01309	SRR23153078	GL_01_06	ERR1913920	GL_04_09	EHI03393_M	EHI03377_M	EHI01291	SRR14842419	SRR21169630	GL_04_07	EHI01306	GL_03_09	EHI01301	GL_06_06	GL_05_11	SRR14842424	D025	D052	SRR14842387	D035	D044	EHI01315	MS_05_01	GL_02_05	SRR14842351	SRR23153121	SRR14842342	EHI03394_M	EHI03385_M	SRR23153159	GL_02_04	EHI03390_M	GL_03_05	SRR14842332	ERR1913584	SRR14842341	EHI01296	GL_07_02	D019	GL_08_03	D037	ERR1915144	EHI01313	GL_04_01	GL_07_05	GL_08_01	GL_03_10	SRR21169629	EHI03347_M	ERR1915840	EHI01320	GL_05_06	D036	D010	D014	SRR23153058	SRR14842404	SRR14842372	GL_01_02	GL_03_14	ERR1915792	SRR14842391	SRR14842345	D024	EHI03369_M	SRR14842340	GL_05_10	SRR14842353	SRR23153012	EHI03354_M	GL_07_09	SRR14842344	SRR14842335	EHI01280	SRR14842402	GL_03_04	ERR1913896	EHI01327	EHI01285	SRR14842362	GL_07_08	EHI03339_M	EHI03350_M	SRR14842386	ERR1914256	EHI03362_M	EHI03378_M	D013	EHI03391_M	SRR14842347	SRR14842388	GL_08_08	SRR14842397	SRR21169623	GL_07_12	SRR14842368	EHI03368_M	SRR14842393	EHI01385	D039	EHI03364_M	SRR21169625	SRR14842336	EHI01303	SRR14842367	D021	EHI03357_M
GL_01_02_bin_65891	14	5	0	17	185	13	2	12	7	0	40	27	6	7	5	20	17	20877	149	4	7	82	6	37	9	2	0	20	0	10	26	1	5	2	2	4	0	0	3	4	9	0	6	2	4	17	2	0	59	11	0	3	84	19	0	30	5	0	7	6	0	5	8	0	21	116	0	0	2	10	5	0	0	0	8	2	124	3	15	13	5	0	0	11	52	204	5	6	15	1	0	0	11	9	12	0	0	35	0	4	12	20	18	10	6	0	0	16	18	0	0	78	8	107	6	0	0	3	0	18	7	63	0	3	6	11	62	103	6	0	2	6	9	27	4	0	13	0	0	14	0	13	2	4	0	2	1	7	1	0	13	7	0	1	2	4	4	35	5	0	0	3	2	3	12706	9	0	42	0	5	3093	4	2	2	1	200815	0	6	0	54	3	0	2	0	0	10	7	6	0	4	2	2	0	3	1	18	5	5	2	0	16	2	25	0	0	0	97	0	1	9	5	16	2	12	0	2	31	0	21	25	2	0	2	0	0	38	42	0	15	4	10	81	0	24	1	0	2	0	0	33	3	1	0	4	8	0	0	2	5	10	4	0	12	10	121	0	0	0	0	25	83	498	135	4	4	6	8	11	1	4	2	3	10	0	8	3	0	0	24	2	1	2	3	0	2	36	17	6	0	2	2	0	35	3	0	12	5	4	0	94	145	0	26	0	10	3	12	0	0	21	3	10	5	21	6	147	0	18	0	4	26	3	630	131	20	5	39	86	19	17	0	13	11	0	8	26	7	2	0	0	0	1139184	44	3	0	128	0	11	5	6	0	7	8	0	0	10	422	2	1135	14	161	15	0	6	8	22	0	3	0	16	0	18	11	0	21	0	0	45	4	15	0	170	7	9	5	0	2	25	4	7
GL_08_11_bin_54749	2	4840	4860	7104	19095	8217	165	4263	6265	7573	2045	6315	4	0	283	33	0	28336	36116	10457	142	49552	25	324	11642	5	6267	0	4	40	28	5510	25490	2376	5671	2289	2	5	1	8	13100	0	5201	3557	3404	8	907	603	91691	8266	11699	210	7173	19566	0	12574	253	6314	9709	6199	2	154	6	7	27239	4901	0	0	4797	34	4252	36	8334	0	2818	6894	10660	30693	6	8839	4753	5939	462	5417	4836	7357	208	1470	47	0	33	0	96921	1216	12874	131	2471	32	1859	5196	10578	5188	2006	17943	12	1	24	35053	26485	19	7772	166	5	23371	1	0	0	3533	118	4	52	13187	3	462	30027	23	26968	7349	3531	0	2178	2970	7393	3223	3	14364	10	32	5	37	12433	4535	36	23	15435	0	0	5255	9636	12	2950	4666	13450	0	763	2480	3809	2679	5144	36	13	3646	22095	118	16202	481	0	4334	321	0	12845	1799	9	0	5	2574612	559	3152	3	7216	1727	11137	0	22	2564	6145	3954	4220	4	25843	4050	0	2	15816	0	6609	3568	5264	5	0	2708	6273	200	0	0	92	22744	74	0	18295	5934	2789	3562	1738	0	26	9910	0	293	16903	395	2	4684	0	51	643	9699	2	65585	9081	5000	105	12442	2427	3920	0	1663	16773	0	2860	4192	9	0	13354	2855	5	152	4462	635	28606	133	104	2225	21	48330	0	0	0	310	23	13315	22289	0	0	2	3935	10	14523	10	590	0	13164	5358	0	15200	1021	0	13	4250	2621	1023	11	7481	0	28046	10742	10949	5846	6997	8422	0	8710	8495	25731	23972	2926	4661	5351	2	107	85	20	1134	104	1032	8	4908	1	1	131	1692	2185	0	7287	5340	10407	0	1050	4	4405	35339	26	6128	0	409	1415	100201	37033	12394	27115	5838	3471	1770	10477	1161	79	54	0	0	0	0	748489	20440	424	0	233	1	19620	4	5983	0	0	8947	10072	0	2	6242	0	9606	4560	2720	3363	0	6085	12073	3197	26	97	5607	4078	0	4656	2	18	11981	0	4289	3215	15	10298	1	7467	0	3980	1749	12	903	9	135	1398
GL_01_02_bin_77494	0	96	35	0	10	18	6	163	0	149	1439	31	0	1146	2	0	0	44	149	11	10	44	0	63	0	0	0	0	0	0	1	1	2	0	0	0	0	0	214	33	0	0	8	0	5	2	0	3	42	180	0	0	319	4	0	754	0	29	0	161	0	0	0	0	44	708	0	0	0	27	19	0	185	0	0	0	3888	308	0	31	1	8	2	12	0	667	0	30	0	0	0	0	0	72	80	0	120	0	28	0	0	30	0	0	301	0	280	65	9	0	31	35	0	8	0	0	0	0	0	1	1	13	0	0	3	14	789	2697	180	0	83	0	0	7	0	0	3	0	0	0	0	0	14	0	0	0	0	1	0	0	0	8	11	0	1	55	0	152	0	0	0	0	3	7	16	0	0	4	103	4	96	0	0	0	0	1145	0	11	0	273	3	130	0	0	6	2	8	0	0	0	195	0	0	1811	85	2	12	1	0	0	0	36	0	0	0	0	35	0	0	0	2	136	0	0	0	0	18	0	47	0	0	0	89	0	0	0	27	2	16	25	28	0	388	0	0	0	11	0	0	0	0	0	0	12	0	0	0	6	34	58	158	0	5	2	938	0	0	0	0	2	44	480	0	1	0	0	2	79	931	0	0	0	0	0	65	0	0	0	2	21	0	0	1	0	0	263	214	6	0	0	0	0	189	0	0	0	21	1442	3	0	0	1	0	0	0	91	82	0	0	1	2	0	0	1	105	1905	0	94	1	0	189	0	84	0	14	16	16	786	457	2	0	0	53	26	443	0	0	0	0	0	0	565577	2	4	0	1	0	0	0	1388	0	0	6	48	0	0	56	0	109	43	10	0	0	38	0	2	0	0	124	0	5411	0	6	1	452	0	9	216	0	0	0	0	0	3	1	0	7	0	0	0
EHA05620_bin.26	0	26	29	513	213	3	16	210	127	128	49	121	0	16	0	6	230	15	47	412	93	546	0	138	170	0	282	0	2	2	0	169	7	88	1182	11861	4	0	0	45	5	2	223	394	176	0	378	0	668	254	187	0	166	180	0	114	1065	1902	194	887	0	11	3	2	63	39	0	6	119	190	6	0	34	4	176	0	14	248	0	21	1	886	281	234	398	4	12	129	73	0	0	0	0	236	4116	0	77	5	3	129	24	1000	0	117	49	0	23	904	61	0	3992	14	4	9	3	6	0	80	0	21	9	496	0	67	85	281	85	6	81	0	775	449	23	146	8	6	0	0	0	0	5	152	0	0	88	24	0	28635	17	0	160	383	0	0	578	148	1363	88	197	0	202	641	880	0	0	334	0	154	53	0	1298	275	0	0	0	13617	0	400	0	81	278	180	0	0	951	1031	3568	308	0	4	21516	55	0	6	678	26	42	750	0	0	820	279	0	0	0	0	380	0	0	467	743	470	200	412	0	52	0	2	1164	195	0	0	3789	0	0	0	19	0	24	1192	32	0	174	2863	39	10	826	9	0	9266	2	1	0	6	300	0	691	339	157	2289	134	0	172	101	3008	21	0	0	0	898	4225	85	0	29	6	126	0	17	0	153	2	0	154	0	90	156	16	0	169	137	21	0	59	0	2266	48	239	1427	617	76	0	4	177	355	816	131	415	16	0	0	0	0	132	0	2807	2	1865	2	10	0	6161	5514	0	10	66	4	0	822	0	279	451	19	49	0	71	113	1194	419	122	1765	6	561	45	351	8	194	0	0	7	34	25	122	349	69	3	0	0	420	4	28	0	1	2	767	0	0	7383	0	54	92	2520	112	0	10	229	102	9	57	245	80	0	262	0	1	13234	0	0	288	0	95	0	4565	24	36403	0	0	2929	2	0	132
GL_08_07_bin_30162	63261	141	650	4025	752	5668	877	564	2373	660	13407	13187	224	642	1056	41	843	2968	905	2912	447	1965	4	1302	1338	94	2020	3276	52	44	6	136	52	2179	132	25865	64	0	982	0	9532	4	968	427	11294	14	2500	4607	1581	296	359	2030	779	1689	430	1625	1628	63	424	3576	2535	5	111	787	1062	975	10	0	222	302	153	454	591	22	6493	3429	1729	1092	4725	108	206	654	296	1345	605	470	2613	2235	32451	0	284	0	1368	684	3373	307	163	7876	157	5296	560	1503	2355	801	520	0	502	1623	517	1887	10200	119	7	5705	44702	1	0	12354	2234	16	324	2097	432	569	16527	26	1146	1151	1326	0	6303	437	7376	485	14	845	0	23051	18	58	327	1117	377	3	3243	14	0	6744	1476	0	3515	2627	5293	0	5341	229	443	1195	1788	28	265	3122	25	11459	26	91	6	705	144	0	3192	2139	9	78	1	37580	923	192	9	1731	3551	1011	4	21	433	3164	4590	4894	0	841	231783	2	4	314	360	218	125	4342	60920	0	341	413	59171	4	301	4	1879	863	0	9936	10789	89	688	1446	0	509	301	0	749	5	1339	7	216	550	0	392	1360	0	371	99	468	1	614	1331	3155	12	150	275	0	5485	9442	58	0	481	864	4	439	426	196	18325	463	19266	420	339	3579	106	377	0	4866	462	7093	1634	2	0	216	5327	2	1798	518	2472	8	7609	5379	45	1383	2549	49	932	12313	375	6108	1861	6037	7	6410	938	5009	351	7068	169	18	691	18108	37	5390	7402	1281	340	1	233	0	68	24354	20970	4286	0	4325	0	14	26	3991	2006	14	47	1058	924	0	370	5	2983	5181	311	707	448	1333	8290	13913	6321	743	4732	751	779	7960	2841	202	17685	26878	88	0	40	83	157	1354	187	1193	18	0	924	15	260	1951	1	142	4046	2	1	5027	0	626	919	11887	100	16	699	885	1029	154	620	388	648	6227	1764	25	197	28138	0	2631	1450	332	711	0	11075	35580	6455	3124	59	17	140	430	891
PRJNA738608B_bin_436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	4	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323204	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
SRR14842407_bin_88846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	231682	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR14842407_bin_132492	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213949	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	3	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	16	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SHD1_1813	47	116	2518	304	105	1	824	1085	33696	3928	6498	1926	260	0	20539	660	515	1610	755	16696	1156	13517	2669	5110	244	87	33	18	387	1918	69	379	2485	75	609	26723	162	1	0	2885	1037	2	3911	3874	84234	129	11320	11225	2711	1181	343	44	2425	5	5	318	2505	202	141	4160	87	54	11	801	10182	330	264	439	79843	219	1179	2	684	89	18013	1280	8001	1964	623	854	60	208	100	6103	72	25931	2830	2075	868	179	3378	4316	4	527	377	33	1045	450	18	15287	424	4894	30	34560	7	407	29	22728	203	2	6920	381	336	386	292	0	29	182	31	4098	2426	68	86	266523	101169	719	43877	5530	145673	25	7746	192	1940	1451	54	82	225	17057	32870	213	1400	7868	27	7	4656	993	18	9614	88	0	580	17657	99	1075	13383	478	338	8344	2742	2	1047	204	471	1383	973	7	52	3128	274	1	64856	1985	1428	83	121	879	242	97	171	1357	21502	11683	703	193	8	235	8500	908	3157	1368	563	743	53	382	29	180	600	10563	0	6	50	532	31	4105	2770	881	1261	10204	2508	409	12249	48	902	143	805	116	85	9	687	69	6589	1238	66	2	4930	1690	60	3	118	422	57	181	197	4388	9651	1655	2065	2131	8042	136	166	387	65	941	226	2338	15	279	240	454	19	99	147	8	6196	262	96	217	74	276	188	203	5129	7	335	138	30	170	14	14	236	686	23589	849	1658	28041	59	9	14151	121	3328	6	80	139	9388	391	7075	213	264	642	2	600	14281	3	21391	17176	1466	5153	5	10	28966	1088	234	3449	136498	87	2052	1060	286	777	34	5222	1073	720	3424	4225	0	1417	3169	11577	3050	2739	147	0	452	27368	309	31901	129538	53	1574	247	2320	174	434	1575764	192	597	52	38	161	824	145	56	6330	60	316333	2693	131	5816	0	18	44	6184	4850	141	12477	14	8689	438	86350	226	103	3401	108	93	2574	591	3538	663	276	7801	18	7033	126	5164	44	964	59	168	550	11061	2	5938	145	242	938	271	1996	102
SHD1_2002	92	128	2534	347	185	6	946	677	21743	2697	9017	2039	149	4	18426	223	1205	6	776	16280	991	12802	2562	5188	322	31	150	8	132	585	33	330	2051	138	541	28179	72	2	32	737	1161	2	3337	3107	90173	5	11605	9555	2795	1139	279	27	2089	791	15	424	2156	241	126	3918	28	52	4	469	10216	254	83	569	74177	314	881	0	588	42	13197	271	6669	1925	164	577	87	167	83	6179	131	23722	1992	2120	517	49	1949	1331	4	592	431	38	963	444	22	14354	439	3759	14	29814	11	67	35	21581	307	0	7550	161	105	390	312	10	18	141	3	4100	193	286	96	1082865	104836	566	33911	4499	152110	13	7672	157	1851	1516	12	117	330	3456	23390	66	1239	7224	6	6	4600	1043	1020	3578	50	9	553	9116	29	1119	12950	379	332	7892	2639	5	563	193	530	492	571	50	40	2548	256	4	56125	1779	349	63	35	734	131	83	128	1254	23085	12167	176	143	62	257	8494	822	1390	1470	691	708	4	345	60	270	656	11229	30	4	109	411	4	1093	761	2	1312	11118	622	316	11878	128	789	119	709	92	100	8	764	18	3095	198	94	56	2112	1521	64	2	282	383	93	35	234	3839	6698	77	1405	1805	3810	124	236	102	64	964	476	834	8	309	383	533	25	63	118	98	6951	92	42	45	64	251	441	248	483	16	144	308	6	480	9	250	86	713	23623	716	1443	26739	17	13	14126	149	3116	0	158	204	9039	347	7192	253	218	559	2	538	14280	42	19039	16203	1473	4424	5	4	16454	332	417	1650	126884	111	1023	618	122	166	19	4696	1183	123	3116	3661	0	1457	1025	11944	2423	1696	465	6	584	26929	452	32269	125635	78	1489	328	2032	156	80	102648	188	21	43	30	142	48	172	146	6711	26	29188	2269	38	5460	0	8	38	5996	1802	34	11390	0	5350	557	89294	246	37	3029	87	207	2643	532	2073	557	236	7163	1	7734	492	1406	13	978	59	189	169	11586	71	4820	66	32	173	255	2003	181
