capture,specimen,tube,id,sampling_date,sampling_day,day,
SD0529001,SD05290,AKT11,Martin1,210325,day_1,day_1,
SD0529101,SD05291,AKT12,Martin2,210325,day_1,day_1,
SD0529201,SD05292,AKT13,Martin3,210325,day_1,day_1,
SD0529301,SD05293,AKT14,Martin4,210325,day_1,day_1,
SD0529401,SD05294,AKT15,Hare1,210325,day_1,day_1,
SD0529501,SD05295,AKT16,Hjelmer1,210325,day_1,day_1,
SD0529601,SD05296,AKT17,Hjelmer3,210325,day_1,day_1,
SD0529701,SD05297,AKT18,Hjelmer4,210325,day_1,day_1,
SD0529801,SD05298,AKT19,Gaba1,230325,day_2,day_3,
SD0529901,SD05299,AKT20,Gaba2,230325,day_2,day_3,
SD0530001,SD05300,AKT21,Gaba3,230325,day_2,day_3,
SD0530101,SD05301,AKT22,Gaba4,230325,day_2,day_3,
SD0530201,SD05302,AKT23,Martin1,230325,day_2,day_3,
SD0530301,SD05303,AKT24,Martin2,230325,day_2,day_3,
SD0530401,SD05304,AKT25,Martin3,230325,day_2,day_3,
SD0529002,SD05290,AKT26,Martin4,230325,day_2,day_3,
SD0529102,SD05291,AKT27,Hjelmer1,230325,day_2,day_3,
SD0529202,SD05292,AKT28,Hjelmer2,230325,day_2,day_3,
SD0529302,SD05293,AKT29,Hjelmer4,230325,day_2,day_3,
SD0529502,SD05295,AKT30,Hjelmer3,230325,day_2,day_3,
SD0529802,SD05298,AKT31,Åge1,230325,day_2,day_3,
SD0529702,SD05297,AKT32,Åge2,230325,day_2,day_3,
SD0530402,SD05304,AKT33,Åge2,250325,day_3,day_5,
SD0530302,SD05303,AKT34,Åge1,250325,day_3,day_5,
SD0529803,SD05298,AKT35,Hjelmer4,250325,day_3,day_5,
SD0529703,SD05297,AKT36,Hjelmer3,250325,day_3,day_5,
SD0530002,SD05300,AKT37,Gaba2,250325,day_3,day_5,
SD0529902,SD05299,AKT38,Gaba1,250325,day_3,day_5,
SD0530102,SD05301,AKT39,Gaba3,250325,day_3,day_5,
SD0530202,SD05302,AKT40,Gaba4,250325,day_3,day_5,
SD0529602,SD05296,AKT41,Hjelmer2,260325,day_4,day_6,
SD0529003,SD05290,AKT42,Martin1,260325,day_4,day_6,
SD0529103,SD05291,AKT43,Martin2,260325,day_4,day_6,
SD0529303,SD05293,AKT44,Martin4,260325,day_4,day_6,
SD0529203,SD05292,AKT45,Martin3,260325,day_4,day_6,
SD0530403,SD05304,AKT46,Åge2,270325,day_5,day_7,
SD0530303,SD05303,AKT47,Åge1,270325,day_5,day_7,
SD0530203,SD05302,AKT48,Gaba4,270325,day_5,day_7,
SD0530103,SD05301,AKT49,Gaba3,270325,day_5,day_7,
SD0530003,SD05300,AKT50,Gaba2,270325,day_5,day_7,
SD0529903,SD05299,AKT51,Gaba1,270325,day_5,day_7,
SD0529004,SD05290,AKT52,Martin1,270325,day_5,day_7,
SD0529104,SD05291,AKT53,Martin2,270325,day_5,day_7,
SD0529304,SD05293,AKT54,Martin4,270325,day_5,day_7,
SD0529204,SD05292,AKT55,Martin3,270325,day_5,day_7,
SD0529503,SD05295,AKT56,Hjelmer1,280325,day_6,day_8,
SD0529305,SD05293,AKT57,Martin4,280325,day_6,day_8,
SD0529504,SD05295,AKT58,Hjelmer1,290325,day_7,day_9,
SD0529704,SD05297,AKT59,Hjelmer3,290325,day_7,day_9,
SD0529804,SD05298,AKT60,Hjelmer4,290325,day_7,day_9,
SD0529603,SD05296,AKT61,Hjelmer2,290325,day_7,day_9,
SD0529904,SD05299,AKT63,Gaba1,300325,day_8,day_10,
SD0530004,SD05300,AKT64,Gaba2,300325,day_8,day_10,
SD0530104,SD05301,AKT65,Gaba3,300325,day_8,day_10,
SD0530204,SD05302,AKT66,Gaba4,300325,day_8,day_10,
SD0529505,SD05295,AKT67,Hjelmer1,300325,day_8,day_10,
SD0529705,SD05297,AKT68,Hjelmer3,300325,day_8,day_10,
SD0529805,SD05298,AKT69,Hjelmer4,300325,day_8,day_10,
SD0529604,SD05296,AKT70,Hjelmer2,300325,day_8,day_10,
SD0529205,SD05292,AKT71,Martin3,310325,day_9,day_11,
SD0529306,SD05293,AKT72,Martin4,310325,day_9,day_11,
SD0529105,SD05291,AKT73,Martin2,310325,day_9,day_11,
SD0529005,SD05290,AKT74,Martin1,310325,day_9,day_11,
SD0529307,SD05293,AKT75,Martin4,310325,day_9,day_11,
