animal,animal_id,name,sampling_event,tube,sampling_date,sampling_day,day_short,day,pack,season,extra1,extra2,extra3
SD0529401,SD05294,Hare1,SE01817,AKT15,210325,day_1,day_01,day_01,,winter,AKT15,Hare1,210325_AJH1
SD0529501,SD05295,Hjelmer1,SE01817,AKT16,210325,day_1,day_01,day_01,Hjelmer,winter,AKT16,Hjelmer1,210325_AJH1
SD0529701,SD05297,Hjelmer3,SE01817,AKT17,210325,day_1,day_01,day_01,Hjelmer,winter,AKT17,Hjelmer3,210325_AJH1
SD0529801,SD05298,Hjelmer4,SE01817,AKT18,210325,day_1,day_01,day_01,Hjelmer,winter,AKT18,Hjelmer4,210325_AJH1
SD0529001,SD05290,Martin1,SE01817,AKT11,210325,day_1,day_01,day_01,Martin,winter,AKT11,Martin1,210325_AJH1
SD0529101,SD05291,Martin2,SE01817,AKT12,210325,day_1,day_01,day_01,Martin,winter,AKT12,Martin2,210325_AJH1
SD0529201,SD05292,Martin3,SE01817,AKT13,210325,day_1,day_01,day_01,Martin,winter,AKT13,Martin3,210325_AJH1
SD0529301,SD05293,Martin4,SE01817,AKT14,210325,day_1,day_01,day_01,Martin,winter,AKT14,Martin4,210325_AJH1
SD0530301,SD05303,Åge1,SE01818,AKT31,230325,day_2,day_03,day_03,Åge,winter,AKT31,Åge1,230325_AJH2
SD0530401,SD05304,Åge2,SE01818,AKT32,230325,day_2,day_03,day_03,Åge,winter,AKT32,Åge2,230325_AJH2
SD0529901,SD05299,Gaba1,SE01818,AKT19,230325,day_2,day_03,day_03,Gaba,winter,AKT19,Gaba1,230325_AJH2
SD0530001,SD05300,Gaba2,SE01818,AKT20,230325,day_2,day_03,day_03,Gaba,winter,AKT20,Gaba2,230325_AJH2
SD0530101,SD05301,Gaba3,SE01818,AKT21,230325,day_2,day_03,day_03,Gaba,winter,AKT21,Gaba3,230325_AJH2
SD0530201,SD05302,Gaba4,SE01818,AKT22,230325,day_2,day_03,day_03,Gaba,winter,AKT22,Gaba4,230325_AJH2
SD0529502,SD05295,Hjelmer1,SE01818,AKT27,230325,day_2,day_03,day_03,Hjelmer,winter,AKT27,Hjelmer1,230325_AJH2
SD0529601,SD05296,Hjelmer2,SE01818,AKT28,230325,day_2,day_03,day_03,Hjelmer,winter,AKT28,Hjelmer2,230325_AJH2
SD0529702,SD05297,Hjelmer3,SE01818,AKT30,230325,day_2,day_03,day_03,Hjelmer,winter,AKT30,Hjelmer3,230325_AJH2
SD0529802,SD05298,Hjelmer4,SE01818,AKT29,230325,day_2,day_03,day_03,Hjelmer,winter,AKT29,Hjelmer4,230325_AJH2
SD0529002,SD05290,Martin1,SE01818,AKT23,230325,day_2,day_03,day_03,Martin,winter,AKT23,Martin1,230325_AJH2
SD0529102,SD05291,Martin2,SE01818,AKT24,230325,day_2,day_03,day_03,Martin,winter,AKT24,Martin2,230325_AJH2
SD0529202,SD05292,Martin3,SE01818,AKT25,230325,day_2,day_03,day_03,Martin,winter,AKT25,Martin3,230325_AJH2
SD0529302,SD05293,Martin4,SE01818,AKT26,230325,day_2,day_03,day_03,Martin,winter,AKT26,Martin4,230325_AJH2
SD0530302,SD05303,Åge1,SE01819,AKT34,250325,day_3,day_05,day_05,Åge,winter,AKT34,Åge1,250325_AJH3
SD0530402,SD05304,Åge2,SE01819,AKT33,250325,day_3,day_05,day_05,Åge,winter,AKT33,Åge2,250325_AJH3
SD0529902,SD05299,Gaba1,SE01819,AKT38,250325,day_3,day_05,day_05,Gaba,winter,AKT38,Gaba1,250325_AJH3
SD0530002,SD05300,Gaba2,SE01819,AKT37,250325,day_3,day_05,day_05,Gaba,winter,AKT37,Gaba2,250325_AJH3
SD0530102,SD05301,Gaba3,SE01819,AKT39,250325,day_3,day_05,day_05,Gaba,winter,AKT39,Gaba3,250325_AJH3
SD0530202,SD05302,Gaba4,SE01819,AKT40,250325,day_3,day_05,day_05,Gaba,winter,AKT40,Gaba4,250325_AJH3
SD0529703,SD05297,Hjelmer3,SE01819,AKT36,250325,day_3,day_05,day_05,Hjelmer,winter,AKT36,Hjelmer3,250325_AJH3
SD0529803,SD05298,Hjelmer4,SE01819,AKT35,250325,day_3,day_05,day_05,Hjelmer,winter,AKT35,Hjelmer4,250325_AJH3
SD0529602,SD05296,Hjelmer2,SE01820, AKT41,260325,day_4,day_06,day_06,Hjelmer,winter,AKT41,Hjelmer2,260325_AJH4
SD0529003,SD05290,Martin1,SE01820,AKT42,260325,day_4,day_06,day_06,Martin,winter,AKT42,Martin1,260325_AJH4
SD0529103,SD05291,Martin2,SE01820,AKT43,260325,day_4,day_06,day_06,Martin,winter,AKT43,Martin2,260325_AJH4
SD0529203,SD05292,Martin3,SE01820,AKT45,260325,day_4,day_06,day_06,Martin,winter,AKT45,Martin3,260325_AJH4
SD0529303,SD05293,Martin4,SE01820,AKT44,260325,day_4,day_06,day_06,Martin,winter,AKT44,Martin4,260325_AJH4
SD0530303,SD05303,Åge1,SE01821,AKT47,270325,day_5,day_07,day_07,Åge,winter,AKT47,Åge1,270325_AJH5
SD0530403,SD05304,Åge2,SE01821,AKT46,270325,day_5,day_07,day_07,Åge,winter,AKT46,Åge2,270325_AJH5
