sample,animal,project,breed,origin,country,locality
EHI01280,SD0315101,,Sled dog,House,Greenland,Ittoqqortoormiit
EHI01281,SD0314701,,Sled dog,House,Greenland,Ittoqqortoormiit
EHI01282,SD0312801,,Sled dog,Military,Greenland,Daneborg
EHI01283,SD0313301,,Sled dog,Military,Greenland,Daneborg
EHI01284,SD0317301,,Sled dog,House,Greenland,Ittoqqortoormiit
EHI01285,SD0316401,,Sled dog,House,Greenland,Ittoqqortoormiit
EHI01286,SD0310901,,Sled dog,Military,Greenland,Daneborg
EHI01287,SD0317601,,Sled dog,House,Greenland,Ittoqqortoormiit
EHI01288,SD0310301,,Sled dog,Military,Greenland,Daneborg
EHI01289,SD0315301,,Sled dog,House,Greenland,Ittoqqortoormiit
EHI01290,SD0323101,,Sled dog,House,Greenland,Ittoqqortoormiit
EHI01291,SD0316801,,Sled dog,House,Greenland,Ittoqqortoormiit
EHI01292,SD0317101,,Sled dog,House,Greenland,Ittoqqortoormiit
EHI01293,SD0316901,,Sled dog,House,Greenland,Ittoqqortoormiit
EHI01294,SD0312501,,Sled dog,Military,Greenland,Daneborg
EHI01295,SD0310701,,Sled dog,Military,Greenland,Daneborg
EHI01296,SD0314301,,Sled dog,Military,Greenland,Daneborg
EHI01297,SD0312001,,Sled dog,Military,Greenland,Daneborg
EHI01298,SD0311601,,Sled dog,Military,Greenland,Daneborg
EHI01299,SD0313401,,Sled dog,Military,Greenland,Daneborg
EHI01300,SD0317401,,Sled dog,House,Greenland,Ittoqqortoormiit
EHI01301,SD0310401,,Sled dog,Military,Greenland,Daneborg
EHI01302,SD0312301,,Sled dog,Military,Greenland,Daneborg
EHI01303,SD0317001,,Sled dog,House,Greenland,Ittoqqortoormiit
EHI01304,SD0316001,,Sled dog,House,Greenland,Ittoqqortoormiit
EHI01305,SD0314601,,Sled dog,House,Greenland,Ittoqqortoormiit
EHI01306,SD0315001,,Sled dog,House,Greenland,Ittoqqortoormiit
EHI01307,SD0310801,,Sled dog,Military,Greenland,Daneborg
EHI01308,SD0317201,,Sled dog,House,Greenland,Ittoqqortoormiit
