user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
EHA01871_bin.16	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_B;s__Helicobacter_B sp937906905	GCF_937906905.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_B;s__Helicobacter_B sp937906905	95.86	0.876	GCF_937906905.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_B;s__Helicobacter_B sp937906905	95.86	0.876	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900451095.1, s__Helicobacter_B canis_B, 95.0, 87.78, 0.237; GCF_008693005.1, s__Helicobacter_B canis, 95.0, 84.18, 0.209	92.47	11	N/A	N/A
EHA01872_bin.6	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Acholeplasmatales;f__Anaeroplasmataceae;g__CALUXS01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Acholeplasmatales;f__Anaeroplasmataceae;g__CALUXS01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	90.17	11	0.86593	N/A
EHA01873_bin.14	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__	N/A	N/A	N/A	N/A	N/A	GCF_003670275.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C labetoulli	94.08	0.822	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000765825.2, s__Helicobacter_C magdeburgensis, 95.0, 90.3, 0.793; GCF_000155475.1, s__Helicobacter_C cinaedi, 95.0, 89.1, 0.751	93.8	11	0.99069	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
EHA01874_bin.19	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900541465	GCA_900541465.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900541465	95.76	0.757	GCA_900541465.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900541465	95.76	0.757	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019416805.1, s__Fusobacterium_B sp019416805, 95.0, 94.73, 0.812; GCF_021531595.1, s__Fusobacterium_B sp900554355, 95.0, 88.95, 0.55; GCA_019416865.1, s__Fusobacterium_B sp019416865, 95.0, 86.45, 0.302; GCA_020024855.1, s__Fusobacterium_B sp020024855, 95.0, 86.28, 0.322; GCA_900542625.1, s__Fusobacterium_B sp900542625, 95.0, 86.23, 0.33; GCA_900545035.1, s__Fusobacterium_B sp900545035, 95.0, 84.91, 0.2	75.11	11	N/A	N/A
EHA01875_bin.10	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	GCF_000156175.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	97.62	0.919	GCF_000156175.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	97.62	0.919	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_902364775.1, s__Collinsella sp902364775, 95.0, 95.15, 0.832; GCA_900551665.1, s__Collinsella sp900551665, 95.0, 94.25, 0.712; GCA_029264355.1, s__Collinsella sp029264355, 95.0, 89.56, 0.593; GCA_958443615.1, s__Collinsella sp958443615, 95.0, 89.39, 0.518; GCA_020025115.1, s__Collinsella sp020025115, 95.0, 88.63, 0.511; GCA_902470815.1, s__Collinsella sp902470815, 95.0, 86.74, 0.309; GCA_900540845.1, s__Collinsella sp900540845, 95.0, 85.51, 0.243; GCF_003479805.1, s__Collinsella sp003479805, 95.0, 85.43, 0.236; GCF_020735465.1, s__Collinsella stercoris, 95.0, 84.83, 0.226; GCA_030525945.1, s__Collinsella sp030525945, 95.0, 84.47, 0.184	84.25	11	N/A	N/A
EHA01875_bin.14	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter sp900550335	GCA_902470445.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter sp900550335	97.98	0.619	GCA_902470445.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter sp900550335	97.98	0.619	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_008151785.1, s__Peptacetobacter hiranonis, 95.0, 95.09, 0.551; GCA_900539645.1, s__Peptacetobacter sp900539645, 95.0, 94.27, 0.498; GCF_029264495.1, s__Peptacetobacter sp029264495, 95.0, 88.83, 0.16	68.62	11	N/A	Genome has more than 10.0% of markers with multiple hits
EHA01876_bin.2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__	N/A	N/A	N/A	N/A	N/A	GCF_000482845.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum succiniciproducens	89.88	0.592	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	95.55	11	0.99795	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
EHA01878_bin.6	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Taurinivorans;s__	N/A	N/A	N/A	N/A	N/A	GCA_029258655.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Taurinivorans;s__Taurinivorans sp029258655	87.83	0.471	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Taurinivorans;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_020024815.1, s__Taurinivorans sp020024815, 95.0, 89.3, 0.456	84.85	11	0.98994	N/A
EHA01879_bin.8	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	GCF_000156175.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	97.59	0.845	GCF_000156175.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	97.59	0.845	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_902364775.1, s__Collinsella sp902364775, 95.0, 95.08, 0.751; GCA_900551665.1, s__Collinsella sp900551665, 95.0, 94.4, 0.667; GCA_958443615.1, s__Collinsella sp958443615, 95.0, 89.78, 0.44; GCA_029264355.1, s__Collinsella sp029264355, 95.0, 89.4, 0.525; GCA_020025115.1, s__Collinsella sp020025115, 95.0, 88.47, 0.475; GCA_902470815.1, s__Collinsella sp902470815, 95.0, 87.43, 0.258; GCF_003479805.1, s__Collinsella sp003479805, 95.0, 86.29, 0.202; GCF_020735465.1, s__Collinsella stercoris, 95.0, 85.91, 0.195; GCA_900540845.1, s__Collinsella sp900540845, 95.0, 85.33, 0.204	82.11	11	N/A	N/A
EHA01884_bin.7	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum sp900543125	GCF_023050945.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum sp900543125	97.71	0.922	GCF_023050945.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum sp900543125	97.71	0.922	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	97.02	11	N/A	N/A
